IataCode,AirportName,CityName,CountryName,Source
ABQ,Albuquerque International Sunport,Albuquerque,United States,OpenFlights
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,OpenFlights
AGS,Augusta Regional At Bush Field,Bush Field,United States,OpenFlights
ALB,Albany International Airport,Albany,United States,OpenFlights
AMM,Queen Alia International Airport,Amman,Jordan,OpenFlights
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,OpenFlights
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,OpenFlights
ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,OpenFlights
ATH,Eleftherios Venizelos International Airport,Athens,Greece,OpenFlights
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,OpenFlights
AUA,Queen Beatrix International Airport,Oranjestad,Aruba,OpenFlights
AUS,Austin Bergstrom International Airport,Austin,United States,OpenFlights
BCN,Barcelona International Airport,Barcelona,Spain,OpenFlights
BDA,L.F. Wade International International Airport,Bermuda,Bermuda,OpenFlights
BDL,Bradley International Airport,Windsor Locks,United States,OpenFlights
BER,Berlin Brandenburg Airport,Berlin,DE,OurAirports
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,OpenFlights
BIL,Billings Logan International Airport,Billings,United States,OpenFlights
BIS,Bismarck Municipal Airport,Bismarck,United States,OpenFlights
BKK,Suvarnabhumi Airport,Bangkok,Thailand,OpenFlights
BNA,Nashville International Airport,Nashville,United States,OpenFlights
BOG,El Dorado International Airport,Bogota,Colombia,OpenFlights
BOI,Boise Air Terminal/Gowen Field,Boise,United States,OpenFlights
BOM,Chhatrapati Shivaji International Airport,Mumbai,India,OpenFlights
BOS,General Edward Lawrence Logan International Airport,Boston,United States,OpenFlights
BRU,Brussels Airport,Brussels,Belgium,OpenFlights
BTM,Bert Mooney Airport,Butte,United States,OpenFlights
BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,OpenFlights
BUF,Buffalo Niagara International Airport,Buffalo,United States,OpenFlights
BUR,Bob Hope Airport,Burbank,United States,OpenFlights
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,OpenFlights
BZE,Philip S. W. Goldson International Airport,Belize City,Belize,OpenFlights
BZN,Gallatin Field,Bozeman,United States,OpenFlights
CAE,Columbia Metropolitan Airport,Columbia,United States,OpenFlights
CAI,Cairo International Airport,Cairo,Egypt,OpenFlights
CCS,Simón Bolívar International Airport,Caracas,Venezuela,OpenFlights
CDC,Cedar City Regional Airport,Cedar City,United States,OpenFlights
CDG,Charles de Gaulle International Airport,Paris,France,OpenFlights
CHA,Lovell Field,Chattanooga,United States,OpenFlights
CHS,Charleston Air Force Base-International Airport,Charleston,United States,OpenFlights
CLE,Cleveland Hopkins International Airport,Cleveland,United States,OpenFlights
CLT,Charlotte Douglas International Airport,Charlotte,United States,OpenFlights
CMH,John Glenn Columbus International Airport,Columbus,United States,OpenFlights
COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,OpenFlights
CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,OpenFlights
CPR,Casper-Natrona County International Airport,Casper,United States,OpenFlights
CUN,Cancún International Airport,Cancun,Mexico,OpenFlights
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,OpenFlights
CZM,Cozumel International Airport,Cozumel,Mexico,OpenFlights
DAB,Daytona Beach International Airport,Daytona Beach,United States,OpenFlights
DAL,Dallas Love Field,Dallas,United States,OpenFlights
DAY,James M Cox Dayton International Airport,Dayton,United States,OpenFlights
DCA,Ronald Reagan Washington National Airport,Washington,United States,OpenFlights
DEN,Denver International Airport,Denver,United States,OpenFlights
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,OpenFlights
DLH,Duluth International Airport,Duluth,United States,OpenFlights
DSM,Des Moines International Airport,Des Moines,United States,OpenFlights
